id,name,icon,description,color
A0016,正隆,📦,工紙與紙器領導品牌，致力於循環經濟與環保包裝。,#9B59B6
A0017,永豐餘,📄,橫跨造紙、生技與金融，台灣紙業綠能轉型先鋒。,#9B59B6
A0018,立益,🏠,傳統紡織轉型物流倉儲與營建，優化土地利用。,#9B59B6
A0019,仰德,🚚,擁有士林電機與國賓飯店，深耕重電與觀光休閒。,#9B59B6
A0020,光寶,💡,台灣首家上市電子公司，領先的電源與光電零組件供應商。,#9B59B6
A0021,和碩,💻,電子專業代工大廠，專注於通訊與資訊產品垂直整合。,#9B59B6
A0022,旺旺,🍪,華人世界食品龍頭，發展食品製造與媒體傳播。,#9B59B6
A0023,明碁友達,🖥️,橫跨顯示器、面板與醫療設備，建構智慧場域解決方案。,#9B59B6
A0024,東元,⚙️,全球馬達領導大廠，積極發展電動車動力系統與綠能。,#9B59B6
A0025,東洋,💊,台灣生技製藥領航者，專注於癌症藥物研發與代工。,#9B59B6
A0026,金仁寶,📟,筆電與智慧穿戴設備代工主力，提供全方位電子製造。,#9B59B6
A0027,長榮,🚢,全球貨櫃航運巨頭，擁有海空聯運能力的運輸王國。,#9B59B6
A0028,南訊,📞,通訊服務系統整合專家，深耕企業電信方案。,#9B59B6
A0029,威盛,🧠,IC設計先驅，轉型布局AI人工智慧與邊緣運算晶片。,#9B59B6
A0030,英業達,☁️,伺服器代工霸主，深耕雲端運算與行動終端設備。,#9B59B6
A0031,凌陽,🚗,多媒體與車載晶片設計，專注於視聽電子應用。,#9B59B6
A0032,神盾集團,☝️,指紋辨識與感測技術領導者，積極併購擴充AI晶片版圖。,#9B59B6
A0033,能率,📷,精密光學與金屬模組製造，跨足電動車零組件領域。,#9B59B6
A0034,國巨,🔌,全球被動元件領先者，透過併購掌握關鍵電路元件技術。,#9B59B6
A0035,國產,🏗️,預拌混凝土專家，垂直整合營建產業鏈與土地開發。,#9B59B6
A0036,國碩,☀️,由光碟片轉型太陽能產業，深耕綠色能源材料。,#9B59B6
A0037,統一,🥛,食品零售王者，通路遍布亞洲的民生消費巨人。,#3498DB
A0038,華立,🧪,高科技材料通路商，代理全球尖端半導體與顯示材料。,#9B59B6
A0039,華新,⚡,電線電纜與不鏽鋼大廠，布局新能源電池原物料。,#9B59B6
A0040,華碩,💻,電腦硬體與電競領導品牌，引領AI PC與雲端布局。,#9B59B6
A0041,新光,🏦,大型金融保險體系，橫跨金控、醫療與百貨零售。,#9B59B6
A0042,義聯,🏗️,南台灣鋼鐵龍頭，發展鋼鐵、休閒醫療與文教事業。,#9B59B6
A0043,裕隆,🚗,台灣汽車自主品牌推手，積極推動電動車與移動服務。,#9B59B6
A0044,遠東/亞東,🏢,多角化產業旗艦，涵蓋電信、化纖、水泥與金融通路。,#9B59B6
A0045,遠雄,🏗️,台灣營建業領導品牌，深耕大型造鎮開發與物流園區。,#9B59B6
A0046,億光,💡,LED封裝領導廠商，產品應用橫跨照明、車用與顯示感測。,#9B59B6
A0047,潤泰,🏢,營建品質標竿，結合零售與金融服務的全方位集團。,#9B59B6
A0048,緯創,💻,雲端運算與AI伺服器製造主力，轉型高毛利科技服務。,#9B59B6
A0049,錸德,📀,光碟儲存專家，轉型開發長效儲存系統與長照事業。,#9B59B6
A0050,燦坤,🛍️,台灣電子產品零售通路指標，提供專業家電與3C服務。,#9B59B6
A0051,聯發科,📶,全球手機晶片巨人，引領AI運算與物聯網通訊技術。,#F39C12
A0052,聯華,🍞,食品與氣體兩大支柱，擁有穩健的民生與工業基礎。,#9B59B6
A0053,聯電,🏗️,全球重要晶圓代工廠，深耕成熟製程與特殊應用技術。,#9B59B6
A0054,聲寶,📺,家電品牌大廠，布局智慧家電與銀髮產業園區。,#9B59B6
A0055,鴻海,📱,全球最大電子製造代工，積極推動3+3產業轉型策略。,#F39C12
A0056,藍天,💻,利基型筆電與百腦匯賣場，深耕大陸IT零售通路。,#9B59B6
