code,name,market,category,riskLevel,personality,profit1,profit1_reason,profit1_source,profit2,profit2_reason,profit2_source,profit3,profit3_reason,profit3_source,key1,key1_reason,key1_source,key2,key2_reason,key2_source,key3,key3_reason,key3_source,risk1,risk1_reason,risk1_source,risk2,risk2_reason,risk2_source,risk3,risk3_reason,risk3_source,reminder
TSE12,食品,上市食品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3054,立萬利,上市食品,,,從電子零件轉型為「生技食品與通路代理」的複合企業,生技營養食品,,,產品代理銷售,,,電子元件(殘餘業務),,,生技產品開發案進度,,,代理品牌續約狀況,,,集團資源整合效果,,,品牌知名度不足,,,轉型陣痛期波動,,,法規審核風險,,,轉型過程長，營運波動大，需關注其新產品在市場的接受度
1737,臺鹽,上市食品,I012010,,由公營轉民營，擁有「鹽,水,,,生技」三位一體的特許防禦商,,,鹽產品(民生與工業用),,,包裝水(海洋鹼性離子水),,,美容化妝品與生技品,,,包裝水市佔率,,,海廢/核處理水輿情,,,綠能發電投資進度,,,鹽產品進口競爭,,,產品線老化
1702,南僑,上市食品,J000310|I012010|I012020,,橫跨「烘焙油脂與急凍熟麵」的兩岸與泰國餐飲軍火商,烘焙用油脂,,,急凍熟麵與米果(泰國),,,餐飲服務(點水樓),,,棕櫚油原料報價,,,泰國外銷訂單量,,,烘焙業展店熱潮,,,棕櫚油出口稅率,,,匯率大幅波動,,,中國烘焙市場疲軟,,,近期泰國廠擴產與外銷是其主要的成長來源
1256,鮮活果汁-KY,上市食品,I012020,,深耕中國手搖飲產業供應鏈的「濃縮果汁大王」,果汁/果漿/果粉,,,口感顆粒產品,,,特調產品研發,,,中國手搖飲店開張數,,,水果原材料產季價格,,,主要客戶(如蜜雪冰城)動態,,,中國市場內捲競爭,,,供應商直採威脅,,,人民幣匯率風險,,,它是手搖飲的背後軍火商，與中國手搖飲景氣完全同步
1236,宏亞,上市食品,I012020,,擁有「七七乳加與禮坊」品牌，深受年節效應影響的甜點商,休閒食品(七七系列),,,禮坊(喜餅/年禮),,,巧克力共和國(觀光觀光工廠),,,可可豆國際報價,,,結婚對數與節慶時點,,,巧克力產品創新,,,少子化影響喜餅市場,,,可可豆價格暴漲,,,健康減糖風潮,,,第四季與第一季是其傳統旺季，獲利季節性極強
1235,興泰,上市食品,,,營運規模較小,近年頻繁涉入「轉投資與資產運作」的水產飼料廠,,,水產/禽畜飼料,,,轉投資股票獲利,,,不動產租賃,,,證券投資損益,,,水產養殖業景氣,,,資產開發效益,,,業外獲利佔比過大,,,流動性較低(冷門股),,,本業萎縮
1234,黑松,上市食品,I012020,,坐擁台北市精華土地且擁有「碳酸飲品第一品牌」的資產大亨,黑松沙士等飲品銷售,,,58度金門高粱代理,,,土地租賃收入(微風廣場),,,金門高粱代理量,,,夏季氣溫(冷飲銷量),,,資產重估與開發,,,含糖稅政策推動,,,代理權被收回風險,,,通路商上架費提升,,,獲利穩健且具備強大的資產價值底蘊
1233,天仁,上市食品,I012020,,結合「茶葉貿易與連鎖餐飲」的傳統茶文化推手,茶葉產品銷售,,,喫茶趣餐飲收入,,,喫茶趣ToGo手搖飲,,,國內觀光消費力,,,茶葉進口成本,,,百貨通路人流量,,,手搖飲市場過度競爭,,,年輕族群消費偏好改變,,,店租成本上升,,,受惠內需餐飲復甦，但需關注手搖飲品牌的數位轉型
1232,大統益,上市食品,,,獲利極其穩定,長年配息優渥的「大豆壓榨王者」,,,黃豆粉(飼料用),,,精製大豆油(美食家),,,散裝大宗物資,,,黃豆期貨與匯率,,,壓榨毛利率,,,台灣餐飲業市況,,,國際黃豆供需失衡,,,匯率大幅波動風險,,,單一市場過於飽和
1231,聯華食,上市食品,,,結合「休閒零食與便利商店鮮食」雙引擎的龍頭商,休閒食品(萬歲牌/可樂果),,,超商鮮食代工(7-11),,,健康生醫系列,,,超商展店與鮮食銷量,,,堅果/原料成本,,,新廠產能開出進度,,,食安風險導致停工,,,勞動力短缺影響鮮食,,,休閒食品市場飽和,,,鮮食代工與超商高度綁定，是極具競爭力的民生剛需
1229,聯華,上市食品,,,轉型為「控股公司」且持有工業氣體金雞母的穩健型企業,聯華林德(工業氣體),,,麵粉與義大利麵銷售,,,聯強等轉投資收益,,,半導體對工業氣體需求,,,小麥成本走勢,,,轉投資獲利貢獻,,,科技業景氣寒冬,,,小麥進口價格波動,,,食品本業利潤單薄,,,與其說是食品股，不如說是披著食品皮的「半導體氣體與通路股」
1227,佳格,上市食品,,,擁有強大品牌忠誠度的「健康營養與食用油領導者」,桂格燕麥/營養品,,,得意的一天食用油,,,中國業務(佳格中國),,,高齡化社會營養需求,,,中國市場獲利恢復力,,,健康食品認證數量,,,中國市場競爭劇烈,,,燕麥原料成本,,,廣告行銷支出過高,,,受惠高齡化紅利，但中國區的虧損縮減是近期關鍵
1225,福懋油,上市食品,,,專精於「大豆壓榨與沙拉油」的油脂專業廠,沙拉油銷售,,,黃豆粉銷售,,,麵粉與穀物經營,,,黃豆壓榨利差,,,黃豆進口到岸成本,,,餐飲業用油需求,,,大宗物資價格劇烈變動,,,經營權潛在變動,,,下游獲利遭壓縮,,,股本小
1220,台榮,上市食品,,,專攻「澱粉與糖漿加工」的食品工業原料商,玉米澱粉,,,果糖/糖漿系列,,,飼料與水產產品,,,玉米進口價格,,,下游飲料商需求,,,替代糖類競爭,,,玉米期貨劇烈波動,,,食糖稅政策趨勢,,,環保排污處理費,,,獲利波動受國際糧價高度牽動，屬於典型的上游供應商
1219,福壽,上市食品,,,深耕農牧循環經濟且擁有「全台市佔第一寵物糧」的老牌廠,飼料與肉品加工,,,油脂與肥料事業,,,寵物食品銷售,,,寵物市場年增率,,,大宗物資採購價格,,,電商通路佈局,,,氣候影響農產供給,,,原料進口稅率變動,,,畜牧業景氣寒冬,,,寵物經濟是其隱形的成長引擎，可留意此部分的營收占比
1218,泰山,上市食品,,,經歷經營權風波後，重整步調回歸「油脂與飲品本業」的傳統大廠」,泰山油脂系列,,,八寶粥/仙草蜜銷售,,,全家處分後的資金利用,,,油脂原料價格,,,新團隊營運方針,,,股東權益變動,,,經營權爭議殘留,,,失去全家金雞母後的獲利缺口,,,品牌老化,,,現階段重心在於失去全家股權後如何尋求新的獲利引擎
1217,愛之味,上市食品,,,擅長品牌行銷與健康趨勢產品的「罐頭與植物奶商」,甜罐頭與休閒食品,,,燕麥奶/植物奶系列,,,純濃燕麥代工,,,燕麥產品市佔率,,,中元普渡等季節買氣,,,原材料燕麥價格,,,含糖飲料標籤政策,,,原物料運輸成本,,,健康食品競爭加劇,,,品牌印象深，燕麥奶已成為其最重要的成長曲線
1216,統一,上市食品,,,統治台灣民生消費鏈的「零售與食品巨擘」,統一超商(7-11)貢獻,,,食品與飲料銷售,,,統一中控(中國業務),,,集團合併營收年增率,,,統一超獲利貢獻,,,全球供應鏈成本,,,中國消費力下滑,,,零售通路飽和,,,電商競爭威脅,,,它是台灣版的「可口可樂+沃爾瑪」，適合長期存股的防禦型核心
1215,卜蜂,上市食品,,,經營效率極高的「台灣肉品加工與飼料領航者」,飼料生產,,,鮮肉/加工肉製品,,,蛋雞養殖,,,泰國母集團資源整合,,,豬肉/雞肉市場價格,,,自動化廠房產能,,,口蹄疫/禽流感,,,飼料原料漲價,,,環保法規限制,,,管理層能力極佳，是食品股中長期配息最穩定的標的之一
1213,大飲,上市食品,,,受限於單一明星產品且財務體質不穩的「蘋果西打製造商」,蘋果西打銷售,,,其他飲料代工,,,資產收益,,,產品食安檢驗合格率,,,銀行借款償還狀況,,,通路恢復上架率,,,財務結構亮紅燈,,,單一產品依賴過重,,,停工停產風險,,,投機成分極高，需慎防下市與經營權不穩之風險
1210,大成,上市食品,,,貫穿飼料到餐桌的「兩岸農牧垂直整合龍頭」,肉雞/雞蛋生產加工,,,飼料銷售,,,餐飲事業(勝博殿等),,,黃豆/玉米期貨價,,,雞肉行情波動,,,中國市場獲利佔比,,,禽流感疫情風險,,,黃豆進口成本,,,中國轉投資虧損,,,獲利與黃豆玉米息息相關，屬於抗通膨的首選標的
1203,味王,上市食品,,,資產雄厚且稱霸東南亞速食麵市場的「老牌調味專家」,王子麵與速食麵銷售,,,泰國/越南轉投資利潤,,,土地資產開發租賃,,,東南亞匯率變動,,,資產開發進度,,,味精/醬油市佔率,,,本業產品老化,,,海外市場通膨壓力,,,原物料成本上升,,,典型的資產股與東南亞收成股，獲利平穩但缺乏爆發力
1201,味全,上市食品,,,歷經風波後聚焦冷藏通路與中國市場的「乳品大廠」,每日C/林鳳營冷藏飲品,,,中國轉投資事業,,,方便食品銷售,,,生乳收購成本,,,中國冷藏鏈佈局進度,,,品牌好感度修復,,,原物料價格波動,,,食安事件歷史陰影,,,中國在地品牌競爭,,,營運重心已移往中國，需關注對岸冷藏飲品增長動能
TSE13,塑膠,上市塑膠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4306,炎洲,上市塑膠,,,膠帶與包材股，工業循環延伸,工業膠帶,,,包裝材料,,,海外市場,,,工業需求,,,毛利率,,,原料成本,,,需求衰退,,,原料上漲,,,匯率波動,,,屬中小型循環股
1341,富林-KY,上市塑膠,,,塑膠成品外銷股,塑膠板材,,,外銷訂單,,,客製產品,,,出口比例,,,毛利率,,,原料價格,,,景氣衰退,,,價格競爭,,,匯率風險,,,出口循環導向
1340,勝悅-KY,上市塑膠,,,鞋材塑膠材料股,鞋材產品,,,品牌客戶訂單,,,功能性材料,,,鞋業景氣,,,毛利率,,,接單能見度,,,品牌砍單,,,原料上漲,,,需求放緩,,,連動鞋業循環
1337,再生-KY,上市塑膠,,,再生塑膠概念股,再生塑膠粒,,,環保材料,,,外銷市場,,,塑膠價格,,,毛利率,,,環保政策,,,原料波動,,,需求衰退,,,政策改變,,,環保與原料雙題材
1326,台化,上市塑膠,I013010,,石化龍頭，價差循環核心,PTA銷售,,,塑化產品,,,化纖材料,,,油價,,,產品價差,,,產能利用率,,,油價下跌,,,中國產能過剩,,,需求衰退,,,典型石化循環股
1325,恆大,上市塑膠,,,醫療與塑膠雙主軸,醫療耗材,,,塑膠製品,,,外銷,,,醫療需求,,,毛利率,,,出口比重,,,疫情降溫,,,價格競爭,,,需求回落,,,題材波動大
1324,地球,上市塑膠,,,PVC建材循環股,塑膠建材,,,PVC產品,,,內銷市場,,,房市景氣,,,PVC價差,,,毛利率,,,房市降溫,,,原料波動,,,需求下降,,,房市連動型
1323,永裕,上市塑膠,,,醫療塑膠包材股,醫療容器,,,化妝品包材,,,食品包材,,,醫療需求,,,毛利率,,,新產品滲透,,,需求減弱,,,價格競爭,,,原料上漲,,,偏穩定型
1321,大洋,上市塑膠,,,塑膠建材循環股,建材產品,,,PVC材料,,,內需市場,,,建築景氣,,,原料價格,,,毛利率,,,房市下滑,,,價差壓縮,,,需求衰退,,,內需循環股
1315,達新,上市塑膠,,,塑膠加工中小型股,塑膠製品,,,工業材料,,,外銷訂單,,,出口比例,,,毛利率,,,原料成本,,,需求衰退,,,原料上漲,,,匯率風險,,,小型價差股
1314,中石化,上市塑膠,,,石化中游高循環股,ABS銷售,,,苯乙烯,,,塑化產品,,,油價,,,ABS價差,,,產能利用率,,,油價波動,,,中國競爭,,,需求下降,,,高循環價差股
1313,聯成,上市塑膠,,,PVC與塑化材料股,PVC產品,,,塑化原料,,,外銷市場,,,PVC價差,,,油價,,,毛利率,,,價差壓縮,,,需求下滑,,,中國產能過剩,,,典型價差操作股
1312,國喬,上市塑膠,,,ABS與塑膠原料循環股,ABS銷售,,,塑膠粒,,,出口市場,,,ABS價差,,,油價,,,毛利率,,,中國競爭,,,油價下跌,,,需求疲弱,,,高度景氣循環
1310,台苯,上市塑膠,,,苯乙烯價差股,苯乙烯銷售,,,化工原料,,,出口,,,苯乙烯價差,,,油價,,,產能利用率,,,價差縮小,,,需求衰退,,,中國競爭,,,完全看價差
1309,台達化,上市塑膠,,,ABS與PS循環股,ABS產品,,,PS產品,,,外銷市場,,,ABS價差,,,油價,,,毛利率,,,中國競爭,,,價差壓縮,,,需求衰退,,,景氣循環明顯
1308,亞聚,上市塑膠,,,PE材料循環股,PE銷售,,,塑膠粒,,,外銷,,,PE價差,,,油價,,,產能利用率,,,油價波動,,,需求下降,,,中國競爭,,,價差決定獲利
1307,三芳,上市塑膠,,,合成皮材料股,合成皮革,,,鞋材,,,外銷,,,鞋業景氣,,,毛利率,,,出口比重,,,品牌砍單,,,需求下降,,,原料波動,,,連動鞋業循環
1305,華夏,上市塑膠,,,PVC與建材循環股,PVC產品,,,建材,,,出口市場,,,PVC價差,,,油價,,,毛利率,,,價差壓縮,,,需求衰退,,,中國產能過剩,,,高循環石化股
1304,台聚,上市塑膠,,,PE與塑膠原料股,PE銷售,,,塑膠粒,,,出口,,,PE價差,,,油價,,,產能利用率,,,價差縮小,,,需求疲弱,,,油價波動,,,典型價差股
1303,南亞,上市塑膠,,,石化與電子材料雙主軸,塑化產品,,,電子材料,,,化纖材料,,,油價,,,產品價差,,,電子需求,,,油價波動,,,需求衰退,,,中國競爭,,,雙循環結構股
1301,台塑,上市塑膠,,,石化龍頭，原料循環核心,塑化產品,,,原料銷售,,,出口市場,,,油價,,,產品價差,,,產能利用率,,,油價下跌,,,需求衰退,,,中國競爭,,,大型石化循環股
TSE14,紡織纖維,上市紡織纖維,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4440,宜新實業,上市紡織纖維,,,彈性紗魔術師,彈性包覆紗,,,環保回收紗,,,車用紡織品,,,Nike/Adidas下單量,,,環保紗佔比,,,毛利率維持率,,,單一客戶佔比過高,,,匯率波動(出口導向),,,原料價格(PTA/EG),,,專攻高毛利的「彈性包覆紗」，獲利能力通常優於傳統紡紗廠。
4439,冠星-KY,上市紡織纖維,I014040,,專攻「運動品牌棉質針織布」的利基型大廠,棉質針織布,,,功能性面料,,,成衣事業佈局,,,Adidas訂單占比,,,柬埔寨廠生產效率,,,棉花報價變動,,,單一客戶依賴度高,,,新廠稼動率不如預期,,,KY股特有的稅務監管,,,與國際運動品牌掛鉤深，需注意棉花成本轉嫁能力
4438,廣越,上市紡織纖維,I014030,,全球頂級羽絨服飾代工天王，獲利隨季節「高度波動」,羽絨外套代工,,,針織成衣,,,運動服外銷,,,冬季冷熱(影響去化),,,羽絨原料收購成本,,,品牌客戶(TNF/Adidas)訂單,,,暖冬導致庫存堆積,,,鴨毛/鵝毛價格波動,,,季節性淡旺季極其明顯,,,典型的季節性股票，第二
4426,利勤,上市紡織纖維,I014040,,立體織物王,3D立體織物(鞋面),,,運動護具,,,特殊貼合布,,,Nike採購佔比,,,奧運/世足題材,,,高階機台折舊攤提,,,單一客戶(Nike)依賴度極高,,,越南產能利用率,,,同業低價搶單,,,全世界運動鞋面布料的關鍵供應商，股價與Nike財報高度連動。
4414,如興,上市紡織纖維,I014030,,牛仔褲爭議巨人,牛仔褲代工(Levi's),,,成衣製造,,,零售通路,,,借款負債比率,,,大股東持股變化,,,會計師查核意見,,,財務誠信與訴訟風險,,,併購玖地集團後的整合黑洞,,,流動性枯竭,,,全球最大牛仔褲代工廠之一，但財務與經營權爭議不斷，投機風險極高。
1477,聚陽,上市紡織纖維,,,生產彈性極高的「快時尚與運動服飾代工領袖」,快時尚成衣(Fast Fashion),,,運動休閒服飾,,,機能性產品,,,美系大客戶訂單占比,,,東南亞產能分散率,,,每季毛利率走勢,,,快時尚品牌退燒,,,海運物流延遲,,,極端氣候影響換季節奏,,,經營層掌握趨勢極快，獲利彈性優於多數同業
1476,儒鴻,上市紡織纖維,I014040,,全球機能服飾的「研發代工之王」，高毛利的指標性股王,高機能針織布,,,成衣代工(OEM/ODM),,,創新材料研發,,,品牌客戶(Nike/Lululemon)庫存,,,研發費用占營收比,,,印尼新廠產能開出,,,終端運動品牌競爭力下降,,,人才流失至競爭對手,,,匯率大幅波動影響外銷,,,看儒鴻等於看全球機能服飾的景氣風向球
1475,業旺,上市紡織纖維,,,轉型染整新兵,染整加工,,,數位印花,,,工業用布,,,新經營團隊(吉美建設)動向,,,染整加工費,,,環保法規遵循成本,,,染整業高耗能/高水費,,,主要客戶轉單,,,環保罰款風險,,,原本是傳統染整，近期因經營層變動與轉型題材受到關注。
1474,弘裕,上市紡織纖維,I014040,,工業用布龍頭,工業用布(箱包/帳篷),,,醫療用紡織品,,,家飾裝潢布,,,主要客戶(VF集團)訂單,,,醫療標案取得率,,,九江廠產能,,,原油價格(影響化纖成本),,,中國內需消費疲弱,,,匯率波動,,,台灣最大的工業用布廠，不只是做衣服，醫療與軍用帳篷也是強項。
1473,台南,上市紡織纖維,,,成衣代工老將,成衣OEM/ODM(Gap/Macy's),,,自有品牌(Fila代理權已分拆),,,東南亞產能,,,美國服飾庫存去化速度,,,成衣加工單價(ASP),,,越南/柬埔寨工資成本,,,快時尚需求放緩,,,品牌客戶砍單,,,匯率風險,,,老牌成衣代工廠，獲利穩定但爆發力不足，觀察美國零售數據。
1470,大統新創,上市紡織纖維,,,機能布料精品店,戶外機能布料,,,特殊染整,,,平織布,,,戶外運動品牌(Decathlon)訂單,,,少量多樣接單能力,,,染整技術門檻,,,品牌客戶庫存調整,,,高階技術人員流失,,,匯率波動,,,走「小而美」路線，專精高單價、難做的機能布種，毛利相對穩定。
1468,昶和,上市紡織纖維,,,利基型加工廠,紡織品加工,,,布料買賣,,,特定用途布料,,,下游客戶開工率,,,加工費率,,,主要原料價格,,,市場關注度低(流動性差),,,產業競爭激烈,,,原料轉嫁不易,,,股性冷門，主要做中間加工與買賣，缺乏強力品牌題材。
1467,南緯,上市紡織纖維,,,智慧衣先行者,成衣代工,,,金屬纖維(智慧衣),,,供應鏈管理服務,,,北美客戶訂單,,,智慧衣專案進度,,,越南/史瓦帝尼產能,,,新技術商用化延遲,,,成衣毛利壓縮,,,運費成本上升,,,題材很好(智慧衣、金屬纖維)，但獲利尚未能從題材中大幅兌現。
1466,聚隆,上市紡織纖維,,,嫘縈絲專家,嫘縈絲(Rayon),,,不織布(面膜/衛材),,,Lyocell環保纖維,,,木漿原料價格,,,藥妝通路需求(面膜),,,新產品(Acepora)滲透率,,,木漿成本暴漲無法轉嫁,,,同業削價競爭,,,匯率波動,,,台灣少數專精於「纖維素纖維」(非石化)的廠商，與美容醫療產業連動。
1465,偉全,上市紡織纖維,,,緹花布貿易商,緹花布,,,短纖布,,,紡織品貿易,,,歐美家居市場景氣,,,庫存周轉天數,,,貿易利差,,,設計流行趨勢改變,,,庫存跌價損失,,,運費高漲侵蝕獲利,,,以貿易和設計導向為主，對於歐美家居裝飾市場的敏感度高。
1464,得力,上市紡織纖維,,,UA的最佳隊友,長纖機能布,,,平織布,,,運動服飾代工,,,Under Armour股價/財報,,,越南廠產能利用率,,,Adidas訂單成長率,,,主要客戶(UA)營運逆風,,,越南勞工成本上升,,,匯率波動,,,高度依賴Under Armour，當UA重返榮耀時，它是最直接受惠者。
1463,強盛,上市紡織纖維,,,資產型染整廠,保溫棉/染整加工,,,都更案(台大OPUS ONE),,,成衣代工,,,台北市資產開發進度,,,染整加工量,,,每股淨值,,,本業獲利邊緣化,,,資產認列完畢後的空窗期,,,染整環保成本,,,本業染整平平，市場主要看它在台北市精華區的都更案與資產價值。
1460,宏遠,上市紡織纖維,,,創新機能布廠,長纖/短纖機能布,,,加工紗,,,戶外/瑜珈品牌(Lululemon/Nike),,,主要客戶庫存去化,,,高階產品ASP,,,永續布料佔比,,,全球品牌砍單,,,高資本支出折舊壓力,,,匯率波動,,,遠東集團旗下，研發能力強(曾做蔡英文戰袍)，但股本大，獲利易被折舊稀釋。
1459,聯發,上市紡織纖維,,,聚酯研發實驗室,聚酯加工絲,,,機能性纖維,,,特殊規格紗,,,原料(PTA/EG)價差,,,下游織布廠需求,,,利基型產品比重,,,大宗規格價格戰,,,中國產能傾銷,,,原料價格劇烈波動,,,專注於聚酯纖維的差異化研發，但受限於產業結構，爆發力較溫吞。
1457,宜進,上市紡織纖維,,,地產控股紡織,聚酯加工絲,,,商用不動產租金,,,土地開發利益,,,租金收益率,,,加工絲利差,,,轉投資收益(光明絲織),,,本業紡織獲利微薄,,,房市景氣反轉,,,升息增加利息負擔,,,這是一家披著紡織皮的「資產控股公司」，買它是為了它的收租與資產重估。
1455,集盛,上市紡織纖維,,,尼龍粒大戶,尼龍粒(CPL下游),,,加工絲,,,工程塑膠,,,原料CPL價格走勢,,,中國尼龍產能開出狀況,,,加工絲盤價,,,原料CPL暴跌導致庫存損失,,,中國同業殺價,,,下游需求急凍,,,處於石化原料與紡織的中間，獲利極度依賴CPL(己內醯胺)的價格利差，景氣循環股。
1454,台富,上市紡織纖維,,,彈性包覆老手,彈性包覆紗,,,空氣締捲紗,,,特多龍絲,,,下游織布/毛衣需求,,,原料價格轉嫁力,,,產能稼動率,,,產品替代性高,,,市場競爭激烈,,,匯率影響出口,,,老牌加工絲廠，獲利穩定但缺乏新題材，股性偏向牛皮。
1452,宏益,上市紡織纖維,,,加工絲精品店,聚酯加工絲(假撚),,,複合紗,,,高階機能紗,,,加工絲與原料價差,,,高階複合紗佔比,,,毛利率(優於同業),,,一般規格品價格崩跌,,,電價調漲(高耗電),,,勞工短缺,,,堅持不做大宗規格，專攻高毛利「複合加工絲」，是加工絲族群中的獲利資優生。
1451,年興,上市紡織纖維,,,牛仔縮減王,牛仔布,,,成衣代工,,,休閒褲,,,賴索托/墨西哥廠營運狀況,,,棉花價格,,,主要客戶(Levi's)訂單,,,缺工導致關廠(現已縮減產能),,,運費與關稅成本,,,匯率波動,,,曾經的牛仔褲代工王，近年因缺工與成本問題大舉關廠縮編，處於轉型陣痛期。
1449,佳和,上市紡織纖維,,,車用紡織新星,車用內裝布,,,羊毛混紡布,,,機能性織物,,,特斯拉(Tesla)交車量,,,車用布認證進度,,,羊毛原料價格,,,單一車廠砍單風險,,,新台幣匯率,,,原物料成本上升,,,從傳統羊毛布轉型成功，切入特斯拉供應鏈是最大亮點。
1447,力鵬,上市紡織纖維,,,尼龍世界工廠,尼龍粒,,,尼龍絲,,,平織布,,,CPL原料報價,,,中國尼龍產能競爭,,,全球紡織景氣,,,營收大但毛利極低,,,原料跌價庫存損失,,,中國反傾銷調查,,,營收規模驚人但獲利微薄，股價常隨油價與CPL報價波動，屬景氣循環股。
1446,宏和,上市紡織纖維,,,板橋大地主,營建收入(板橋建案),,,平織布(成衣/工業),,,布料加工,,,板橋建案交屋入帳進度,,,成衣市場庫存,,,資產重估價值,,,建案認列完畢後的空窗期,,,本業紡織虧損,,,房市政策打壓,,,本業紡織幾乎被忽略，股價完全取決於板橋帝國廣場等建案的入帳時程。
1445,大宇,上市紡織纖維,,,合成皮老兵,PU合成皮,,,天然皮革加工,,,紡織品貿易,,,國際原油價格,,,鞋類/傢俱市場需求,,,環保法規(PU製程),,,環保意識抬頭(真皮替代),,,原料成本高漲,,,匯率波動,,,主要做合成皮，與鞋業和傢俱業景氣相關，近年受環保趨勢影響大。
1444,力麗,上市紡織纖維,,,聚酯綠能雙刀,聚酯加工絲/瓶粒,,,蘋果傳輸線編織材,,,綠能(風電/水資源),,,蘋果(Apple)新品發表,,,風電事業獲利貢獻,,,瓶用酯粒報價,,,中國聚酯產能過剩,,,綠能投資回收期長,,,電價成本上升,,,除了是蘋果供應鏈(編織線)，龐大的綠能與水資源投資是長線保護傘。
1441,大東,上市紡織纖維,I099030,,台中資產股,紡紗(轉型中),,,資產開發(台中市區),,,一般紗/混紡紗,,,台中土地開發進度,,,棉花期貨價格,,,本業轉型成效,,,本業長期虧損,,,資產開發延宕,,,紡紗產業外移,,,紡紗本業已無競爭力，股價漲跌全看台中土地資產的開發題材。
1440,南紡,上市紡織纖維,I099030,,南台灣紡織霸主，結合「聚酯化纖與購物中心」的複合體,化纖與紗線銷售,,,南紡購物中心收益,,,土地資產活化,,,棉花與聚酯利差,,,百貨公司營收年增,,,越南廠產能利用率,,,棉價暴起暴落,,,零售業景氣波動,,,中國低價產品競爭,,,資產價值極高，本業受全球棉價與服飾景氣牽動
1434,福懋,上市紡織纖維,,,台塑集團成員，全球戶外服飾機能布的「隱形巨頭」,機能布與簾子布,,,油品連鎖經營,,,台塑相關轉投資,,,戶外品牌拉貨動能,,,油價對油品的價差,,,越南產能佈局,,,環保法規成本提升,,,原物料波動受制台塑,,,海外產線工安,,,獲利穩定，兼具機能布成長性與油品防禦性
